5_5bjp_E_S000007,-122.7,63.5,9.40
5_5bjp_E_S000008,-139.6,36.5,9.99
5_5bjp_E_S000009,-148.8,40.3,11.06
5_5bjp_E_S000010,-137.7,42.6,11.23
5_5bjp_E_S000011,-140.2,42.9,9.38
5_5bjp_E_S000012,-56.1,73.8,12.02
5_5bjp_E_S000013,-165.4,22.2,11.79
5_5bjp_E_S000014,-134.4,29.3,10.60
5_5bjp_E_S000015,-14.4,87.7,9.46
5_5bjp_E_S000016,-135.6,23.7,10.25
5_5bjp_E_S000017,-150.8,37.2,9.97
5_5bjp_E_S000018,-139.8,22.7,10.16
5_5bjp_E_S000019,-46.6,77.2,12.17
5_5bjp_E_S000020,-139.1,42.0,10.25
6_5bjp_E_S000001,-118.6,31.0,12.35
6_5bjp_E_S000002,-132.2,51.9,11.38
6_5bjp_E_S000003,-127.9,59.3,10.57
6_5bjp_E_S000004,-134.9,29.4,12.00
6_5bjp_E_S000005,-128.9,46.4,13.23
6_5bjp_E_S000006,-146.5,45.7,10.59
6_5bjp_E_S000007,-142.4,47.1,10.36
6_5bjp_E_S000008,-136.6,45.9,10.19
6_5bjp_E_S000009,-136.2,41.3,10.12
6_5bjp_E_S000010,-154.4,27.8,12.11
6_5bjp_E_S000011,-91.4,89.2,12.68
6_5bjp_E_S000012,-131.0,45.6,10.48
6_5bjp_E_S000013,-150.5,34.3,10.78
6_5bjp_E_S000014,-149.9,32.4,11.18
6_5bjp_E_S000015,10.5,82.3,12.54
6_5bjp_E_S000016,-152.6,25.8,10.79
6_5bjp_E_S000017,-139.3,50.4,10.75
6_5bjp_E_S000018,-77.0,84.6,12.54
6_5bjp_E_S000019,-134.2,58.5,11.96
6_5bjp_E_S000020,-135.2,37.0,10.13
7_5bjp_E_S000001,-118.4,56.6,10.64
7_5bjp_E_S000002,-130.1,39.9,10.06
7_5bjp_E_S000003,-130.3,46.0,10.51
7_5bjp_E_S000004,-133.8,46.6,10.33
7_5bjp_E_S000005,-158.7,26.3,11.50
7_5bjp_E_S000006,-133.3,45.0,10.87
7_5bjp_E_S000007,-148.9,43.5,10.76
7_5bjp_E_S000008,-134.2,34.7,10.32
7_5bjp_E_S000009,-134.4,46.0,10.99
7_5bjp_E_S000010,-134.7,36.7,9.36
7_5bjp_E_S000011,-139.4,49.5,9.95
7_5bjp_E_S000012,-159.4,26.5,10.48
7_5bjp_E_S000013,-162.3,29.2,10.74
7_5bjp_E_S000014,-137.3,49.8,10.83
7_5bjp_E_S000015,-145.3,22.6,10.32
7_5bjp_E_S000016,-158.5,28.1,10.26
7_5bjp_E_S000017,-161.8,30.1,10.32
7_5bjp_E_S000018,-137.6,46.1,12.02
7_5bjp_E_S000019,-140.3,37.2,10.62
7_5bjp_E_S000020,-147.6,31.3,9.86
8_5bjp_E_S000001,-125.1,62.5,11.48
8_5bjp_E_S000002,-132.0,40.8,10.13
8_5bjp_E_S000003,-147.8,29.4,11.00
8_5bjp_E_S000004,29.8,92.1,10.33
8_5bjp_E_S000005,-127.2,39.0,10.91
8_5bjp_E_S000006,-133.2,40.0,10.26
8_5bjp_E_S000007,-145.1,62.4,12.21
8_5bjp_E_S000008,-128.5,39.4,10.08
8_5bjp_E_S000009,-120.3,58.5,11.52
8_5bjp_E_S000010,-147.2,30.2,10.67
8_5bjp_E_S000011,-130.9,39.2,10.76
8_5bjp_E_S000012,-127.9,41.8,12.30
8_5bjp_E_S000013,-140.6,27.2,10.74
8_5bjp_E_S000014,-141.8,25.6,10.51
8_5bjp_E_S000015,-132.9,70.0,12.34
8_5bjp_E_S000016,-135.3,57.5,12.22
8_5bjp_E_S000017,-32.7,143.4,13.13
8_5bjp_E_S000018,-128.8,44.0,10.04
8_5bjp_E_S000019,-139.8,45.0,10.25
8_5bjp_E_S000020,-72.5,79.5,10.55
9_5bjp_E_S000001,-116.6,60.7,11.62
9_5bjp_E_S000002,-129.9,41.7,10.24
9_5bjp_E_S000003,-131.9,45.1,10.13
9_5bjp_E_S000004,-117.3,60.2,12.38
9_5bjp_E_S000005,-121.5,58.3,11.59
9_5bjp_E_S000006,-154.4,28.1,9.92
9_5bjp_E_S000007,-144.8,29.9,10.65
9_5bjp_E_S000008,-144.2,31.9,11.36
9_5bjp_E_S000009,-132.6,49.1,13.25
9_5bjp_E_S000010,-144.7,28.0,10.26
9_5bjp_E_S000011,-149.3,35.8,10.09
9_5bjp_E_S000012,-133.3,46.6,12.61
9_5bjp_E_S000013,-153.5,45.7,11.09
9_5bjp_E_S000014,-146.3,26.2,9.64
9_5bjp_E_S000015,-96.7,82.1,11.51
9_5bjp_E_S000016,-73.5,93.8,9.99
9_5bjp_E_S000017,-149.1,21.7,10.55
9_5bjp_E_S000018,-143.2,39.7,10.48
9_5bjp_E_S000019,-135.8,52.5,10.87
9_5bjp_E_S000020,-97.7,75.8,12.40
